seq,time,sell_pair,sell_pair_volume,buy_pair,buy_pair_volume
1927,00:22:31:000,[540],[4000],[600],[8000]
1928,00:22:31:500,[550],[1000],[600],[5000]
1929,00:22:32:000,[540],[1000],[600],[5000]
1930,00:22:32:500,[540],[1000],[600],[5000]
1931,00:22:33:000,[540],[1000],[600],[8000]
1932,00:22:33:500,[540],[4000],[590],[5000]
1933,00:22:34:000,[529],[4000],[590],[5000]
1934,00:22:36:500,[550],[1000],[600],[8000]
1935,00:22:37:500,[540],[1000],[590],[2000]
1936,00:22:38:500,[540],[1000],[600],[8000]
1937,00:22:39:500,[550],[1000],[600],[5000]
1938,00:22:40:000,[550],[1000],[600],[5000]
1939,00:22:43:500,[540],[4000],[600],[7000]
1940,00:22:44:000,[540],[4000],[590],[5000]
1941,00:22:44:500,[529],[4000],[590],[5000]
1942,00:22:45:000,[540],[4000],[590],[5000]
1943,00:22:46:500,[550],[1000],[600],[7000]
1944,00:22:49:000,[550],[4000],[600],[5000]
1945,00:22:52:000,[540],[4000],[590],[3000]
1946,00:22:52:500,[540],[1000],[590],[2000]
1947,00:22:53:500,[550],[1000],[589],[5000]
1948,00:22:54:000,[550],[1000],[600],[2000]
1949,00:22:56:500,[550],[1000],[610],[27000]
1950,00:22:57:000,[559],[1000],[600],[27000]
1951,00:22:57:500,[559],[1000],[600],[24000]
1952,00:22:58:000,[559],[1000],[600],[24000]
1953,00:22:58:500,[550],[1000],[609],[4000]
1954,00:22:59:000,[550],[4000],[600],[7000]
1955,00:22:59:500,[550],[1000],[600],[8000]
1956,00:23:00:000,[560],[1000],[600],[5000]
1957,00:23:00:500,[550],[3000],[610],[2000]
1958,00:23:01:000,[540],[3000],[610],[2000]
1959,00:23:01:500,[550],[3000],[610],[5000]
1960,00:23:02:000,[550],[3000],[610],[2000]
1961,00:23:02:500,[540],[3000],[610],[2000]
1962,00:23:03:000,[550],[3000],[610],[2000]
1963,00:23:04:000,[550],[3000],[600],[2000]
1964,00:23:04:500,[540],[3000],[600],[2000]
